Year,Month,Author(s),Title,Journal,DOI,Declaration,Documentation,Notes
2021,3,"Bartel, Christian; Dunlop, Jason A.; Sharma, Prashant P.; Selden, Paul A.; Ren, Dong; Shih, Chungkun",Laniatorean harvestmen (Arachnida: Opiliones) from mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104703,No,No,
2021,3,"Luo, Cihang; Xu, Chunpeng; Jarzembowski, Edmund A.","Enervipraeala nigra gen. et sp. nov., an umenocoleid dictyopteran (Insecta) from mid-Cretaceous Kachin amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104702,No,No,
2021,3,"Chen, Xin-Yu; Zhang, Hua-Chuan; Shi, Xiaoxiao",A new species and genus of Alienopteridae (Blattodea) from mid-Cretaceous amber of northern Myanmar,ZOOTAXA,10.11646/zootaxa.4941.4.7,Unavailable,Unavailable,
2021,3,"Yu, Yali; Leschen, Richard A. B.; Slipinski, Adam; Ren, Dong; Wang, Shuo; Pang, Hong",Mesozoic Cleroidea (Coleoptera): First record of mid-Cretaceous Lophocateridae from Burmese amber and notes on the disputed genera Cervicatinius Tan & Ren (Trogossitidae) and Forticatinius Tan & Ren (Artematopodidae),CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104680,No,No,
2021,3,"Tihelka, Erik; Huang, Diying; Cai, Chenyang",A new genus of wounded-tree beetles from mid-Cretaceous northern Myanmar amber (Coleoptera: Nosodendridae),CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104701,No,No,
2021,3,"Skibinska, Kornelia; Albrycht, Marzena; Zhang, Qingqing; Gilka, Wojciech; Zakrzewska, Marta; Krzeminski, Wieslaw","Diversity of the Fossil Genus Palaeoglaesum Wagner (Diptera, Psychodidae) in the Upper Cretaceous Amber of Myanmar",INSECTS,10.3390/insects12030247,No,No,
2021,3,"Wichard, Wilfried","Overview of the caddisflies (Insecta, Trichoptera) in mid-Cretaceous Burmese amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104707,No,No,"""The amber material was collected by local Burmese people in several districts of northern Myanmar, with most material coming from the amber mine located near Noije Bum Village, Myitkyina District, Kachin State"""
2021,3,"Wichard, Wilfried; Mey, Wolfram","Order Tarachoptera in mid-Cretaceous Burmese amber (Insecta, Amphiesmenoptera)",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104681,No,No,"""The amber material was collected by local people in several districts of northern Myanmar, but most of the material comes from the amber mine located near Noije Bum Village, Myitkyina District, Kachin State"""
2021,3,"Jiang, Rixin; Wang, Shuo","Syntelia sunwukong sp. nov., the oldest Synteliid beetle (Coleoptera: Histeroidea) from mid-Cretaceous Burmese amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104709,No,No,
2021,3,"Perez-de la Fuente, Ricardo; Penalver, Enrique; Engel, Michael S.",Beaded lacewings (Neuroptera: Berothidae) in amber from the Lower Cretaceous of Spain,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104705,No,No,
2021,3,"Krzeminski, Wieslaw; Kania-Klosok, Iwona; Krzeminska, Ewa; Sevcik, Jan; Soszynska-Maj, Agnieszka","Fossils Shed a New Light on the Diversity and Disparity of the Family Limoniidae (Diptera, Nematocera)",INSECTS,10.3390/insects12030206,No,No,
