Year,Month,Author(s),Title,Journal,DOI,Declaration,Documentation,Notes
2020,5,"Peris, David; Bao, Tong; Maehler, Bastian; Philips, T. Keith",A morphologically unique species of Ptinidae (Coleoptera) and the first found in mid-Cretaceous Kachin amber (Myanmar),JOURNAL OF SYSTEMATIC PALAEONTOLOGY,10.1080/14772019.2019.1695291,No,No,
2020,5,"Wichard, Wilfried; Espeland, Marianne; Mueller, Patrick; Wang, Bo","New species of caddisflies with bipectinate antennae from Cretaceous Burmese amber (Insecta, Trichoptera: Odontoceratidae, Calamoceratidae)",EUROPEAN JOURNAL OF TAXONOMY,10.5852/ejt.2020.653,No,No,
2020,5,"Li, Longfeng; Rasnitsyn, Alexandr P.; Shih, Chungkun; Li, Daqing; Ren, Dong",Two new rare wasps (Hymenoptera: Apocrita: Panguidae and Burmusculidae) from mid-Cretaceous amber of Northern Myanmar,CRETACEOUS RESEARCH,10.1016/j.cretres.2019.104220,No,No,
2020,5,"Shih, Peter J. M.; Li, Longfeng; Li, Daqing; Ren, Dong",Application of geometric morphometric analyses to confirm three new wasps of Evaniidae (Hymenoptera: Evanioidea) from mid-Cretaceous Myanmar amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2019.104249,No,No,
2020,5,"Ngo-Muller, Valerie; Garrouste, Romain; Pouillon, Jean-Marc; Nel, Andre",A new micropterigid moth from the mid-Cretaceous Burmese amber (Insecta: Lepidoptera),CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104375,No,No,
2020,5,"Smidova, Lucia",Cryptic bark cockroach (Blattinae: Bubosa poinari gen. et sp. nov.) from mid-Cretaceous amber of northern Myanmar,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104383,No,No,
2020,5,"Haug, Joachim T.; Mueller, Patrick; Haug, Carolin",A 100 million-year-old snake-fly larva with an unusually large antenna,BULLETIN OF GEOSCIENCES,10.3140/bull.geosci.1757,No,No,"Specimen was ""bought by one of the authors and is currently part of his private collection"""
2020,5,"Qiu (Clyde Qiu), Lu; Liu, Yu-Chao; Wang, Zong-Qing; Che, Yan-Li",The first blattid cockroach (Dictyoptera: Blattodea) in Cretaceous amber and the reconsideration of purported Blattidae,CRETACEOUS RESEARCH,10.1016/j.cretres.2019.104359,No,No,
2020,6,"Zhang, Junqiang; Chen, Jun","A stalk-eyed true bug in mid-Cretaceous Burmese amber (Hemiptera, Pentatomomorpha, Yuripopovinidae)",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104391,No,No,
2020,6,"Liu, Yuchu; Tihelka, Erik; Yamamoto, Shuhei; Yin, Ziwei; Huang, Diying; Tian, Li; Cai, Chenyang",The first fossil record of the rove beetle subfamily Protopselaphinae (Coleoptera: Staphylinidae) from mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104416,No,No,
2020,6,"Chen, Jun; Zhang, Haichun; Jiang, Hui; Li, Yuling; Jiang, Tian; Zheng, Yan; Wang, Xiaoli","Eurypterogerron kachinensis gen. et sp. nov., a remarkable minlagerrontid (Hemiptera, Cicadomorpha) in mid-Cretaceous Burmese amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104418,No,No,
2020,6,"Zhang, Qingqing; Zhang, Junfeng; Wang, Bo","New bizarre flies from mid-Cretaceous Burmese amber (Diptera, Rhagionemestriidae)",CRETACEOUS RESEARCH,10.1016/j.cretres.2019.104347,No,No,
2020,6,"Luo, Cihang; Jiang, Tian; Wang, Bo; Xiao, Chuantao",A new species of Burmissus (Hemiptera: Fulgoromorpha: Mimarachnidae) from mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104417,No,No,
2020,6,"Li, Sheng; Wang, Qiuzhu; Ren, Dong; Yao, Yunzhi",New genus and species of Empheriidae (Psocodea: Trogiomorpha) from mid-Cretaceous amber of northern Myanmar,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104421,No,No,
2020,6,"Xing, Lida; McKellar, Ryan C.; O'Connor, Jingmai K.",An unusually large bird wing in mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104412,No,No,
2020,6,"Yoshizawa, Kazunori; Lienhard, Charles",dagger Cormopsocidae: A new family of the suborder Trogiomorpha (Insecta: Psocodea) from Burmese amber,ENTOMOLOGICAL SCIENCE,10.1111/ens.12414,No,No,
2020,6,"Jouault, Corentin; Nel, Andre; Perrichot, Vincent","New evanioid wasps (Hymenoptera: Praeaulacidae, Aulacidae) from Cenomanian Burmese amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104407,No,No,
2020,6,"Porta, Andres O.; Michalik, Peter; Franchi, Ezequiel; Proud, Daniel N.",The first fossil pycnocheiridiine pseudoscorpion (Pseudoscorpiones: Cheiridiidae: Procheiridium gen. nov.) from Cretaceous Burmese amber,ZOOTAXA,10.11646/zootaxa.4801.1.6,Unavailable,,
2020,6,"Li, Longfeng; Shih, Peter J. M.; Kopylov, Dmitry S.; Li, Daqing; Ren, Dong",Geometric morphometric analysis of Ichneumonidae (Hymenoptera: Apocrita) with two new Mesozoic taxa from Myanmar and China,JOURNAL OF SYSTEMATIC PALAEONTOLOGY,10.1080/14772019.2019.1697903,No,No,
2020,6,"Jaloszynski, Pawel; Bai, Ming; Wang, Bo","A new species of the extinct mid-Cretaceous genus Scydmobisetia Jaloszyliski & Yamamoto (Coleoptera, Staphylinidae, Scydmaeninae)",ZOOTAXA,10.11646/zootaxa.4802.3.12,,,
2020,6,"Ngo-Muller, Valerie; Garrouste, Romain; Nel, Andre",Small but important: A piece of mid-Cretaceous Burmese amber with a new genus and two new insect species (Odonata: Burmaphlebiidae & 'Psocoptera': Compsocidae),CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104405,,,
2020,6,"Sanchez-Garcia, Alba; Penalver, Enrique; Delclos, Xavier; Engel, Michael S.",Early Cretaceous termites in amber from northern Spain (Isoptera),CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104385,,,
2020,6,"Hsiao, Yun","Taxonomic notes on Eustrophinae from the mid-Cretaceous Burmese amber, with description of a new species (Coleoptera, Tetratomidae)",PALZ,10.1007/s12542-019-00480-z,,,
2020,6,"Lu, Xiumei; Wang, Bo; Zhang, Weiwei; Ohl, Michael; Engel, Michael S.; Liu, Xingyue",Cretaceous diversity and disparity in a lacewing lineage of predators (Neuroptera: Mantispidae),PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2020.0629,,,
2020,7,"Xu, Chunpeng; Fang, Yan; Jarzembowski, Edmund A.",A new pygmy mole cricket (Orthoptera: Tridactyloidea: Tridactylidae) from mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104371,,,
2020,7,"Poinar, George; Vega, Fernando E.; Schneider, Scott A.",Amid-Cretaceous female scale insect (Hemiptera: Sternorrhyncha: Coccomorpha) in Burmese amber,ZOOTAXA,10.11646/zootaxa.4810.3.7,,,
2020,7,"Barrett, Paul M.; Johanson, Zerina",Myanmar (Burmese) Amber Statement,JOURNAL OF SYSTEMATIC PALAEONTOLOGY,10.1080/14772019.2020.1764313,,,
2020,7,"Molino-Olmedo, Francisco; Ferreira, Vinicius S.; Branham, Marc A.; Ivie, Michael A.","The description of Prototrichalus gen. nov. and three new species from Burmese amber supports a mid-Cretaceous origin of the Metriorrhynchini (Coleoptera, Lycidae)",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104452,,,
2020,7,"Cao, Huijia; Boudinot, Brendon E.; Wang, Zhen; Miao, Xiaofeng; Shih, Chungkun; Ren, Dong; Gao, Taiping",Two new iron maiden ants from Burmese amber (Hymenoptera: Formicidae: Zigrasimeciini),MYRMECOLOGICAL NEWS,10.25849/myrmecol.news_030:161,No,No,
2020,7,"Men, Qiulei; Hu, Zhengkun; Xu, Luyao",The first representative of Espanoderus and one new species of Similinannotanyderus (Diptera: Tanyderidae) from mid-Cretaceous amber of northern Myanmar,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104442,,,
2020,7,"Jiang, Rixin; Song, Weicai; Yang, Huiyu; Shi, Chao; Wang, Shuo",Discovery of the first Onthophilus species from mid-Cretaceous Burmese amber (Coleoptera: Histeridae),CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104443,,,
2020,7,"Mao, Yue; Engel, Michael S.; Zhao, Yunyun; Ren, Dong",A new genus of labidurid earwigs in mid-Cretaceous amber from northern Myanmar (Dermaptera: Labiduridae),CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104447,,,
2020,7,"Su, Yitong; Cai, Chenyang; Huang, Diying","Two new species of the bristle millipede genus Pauropsxenus (diplopoda, Polyxenidae) in mid-Cretaceous Burmese amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104427,,,
2020,7,"Olmi, Massimo; Perkovsky, Evgeny E.; Martynova, Kateryna, V; Contarini, Mario; Bueckle, Christoph; Guglielmino, Adalgisa","An important intermediate step in the evolution of pincer wasps: an extraordinary new type of chela from mid-Cretaceous Burmese amber (Hymenoptera, Dryinidae)",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104420,,,
2020,7,"Jaloszynski, Pawel; Luo, Xiao-Zhu; Hammel, Joerg U.; Yamamoto, Shuhei; Beutel, Rolf G.",The mid-Cretaceous Lepiceratus Gen. nov. and the Evolution of the Relict Beetle Family Lepiceridae (Insecta: Coleoptera: Myxophaga),JOURNAL OF SYSTEMATIC PALAEONTOLOGY,10.1080/14772019.2020.1747561,No,No,
2020,7,"Aspoeck, Ulrike; Aspoeck, Horst; Johnson, James B.; Donga, Trust Kasambala; Duelli, Peter","Rhachiella malawica gen. nov., spec. nov. from Malawi-another beauty of the Afrotropics (Neuroptera: Rhachiberothidae)",ZOOTAXA,10.11646/zootaxa.4808.1.7,,,
2020,8,"Chen, Jun; Wang, Bo; Zheng, Yan; Jiang, Hui; Li, Yuling; Jiang, Tian; Zhang, Haichun","Giants trapped in resin: new material of Sinoalidae in mid-Cretaceous Kachin amber from northern Myanmar (Insecta, Cicadomorpha)",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104450,,,
2020,8,"Xu, Chunpeng; Fang, Yan; Wang, He",A new mole cricket (Orthoptera: Gryllotalpidae) from mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104428,,,
2020,8,"Xu, Chunpeng; Zhang, Haichun; Jarzembowski, Edmund A.; Fang, Yan",The first Ripipterygidae (Orthoptera: Caelifera: Tridactyloidea) from mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2019.104356,,,
2020,8,"Gustafson, Grey T.; Michat, Mariano C.; Balke, Michael",Burmese amber reveals a new stem lineage of whirligig beetle (Coleoptera: Gyrinidae) based on the larval stage,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1093/zoolinnean/zlz161,,,
2020,8,"Haug, Gideon T.; Haug, Carolin; Pazinato, Paula G.; Braig, Florian; Perrichot, Vincent; Groehn, Carsten; Mueller, Patrick; Haug, Joachim T.",The decline of silky lacewings and morphological diversity of long-nosed antlion larvae through time,PALAEONTOLOGIA ELECTRONICA,10.26879/1029,No,No,"Material for this study came from different col-lections: one specimen deposited in the Museumof  Comparative  Zoology  (MCZ)  Harvard  (PALE18004),  one  in  the  Natural  History  Museum (Museum  für  Naturkunde)  Berlin  (MBI  5648)  and one in the collections of the University of Rennes (IGR.ARC-205.2). Three specimens come from the collection of one of the authors (collection Gröhn 2994, 7507, 7639). Four specimens come from thecollection  of  one  of  the  other  authors  (collection Müller BUB 3179, 3356, 3386, 3389; see the discussion  herein  for  remarks  on  the  availability  of these specimens). Eighteen specimens are deposited  in  the  collection  of  the  Palaeo-Evo-DevoResearch Group Collection of Arthropods, Ludwig-Maximilians-Universität  München. "
2020,8,"Peris, David; Rust, Jes",Cretaceous beetles (Insecta: Coleoptera) in amber: the palaeoecology of this most diverse group of insects,ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,10.1093/zoolinnean/zlz118,,,
2020,8,"Skibinska, Kornelia; Szadziewski, Ryszard; Kania, Iwona; Krzeminski, Wieslaw",A new species of Bruchomyiinae (Diptera: Psychodidae) from Baltic amber,ZOOTAXA,10.11646/zootaxa.4838.1.10,,,
2020,8,"Poinar, George",Vertebrate pathogens vectored by ancient hematophagous arthropods,HISTORICAL BIOLOGY,10.1080/08912963.2018.1545018,,,
2020,9,"Alvarez-Parra, Sergio; Penalver, Enrique; Nel, Andre; Delclos, Xavier",The oldest representative of the extant barklice genus Psyllipsocus (Psocodea: Trogiomorpha: Psyllipsocidae) from the Cenomanian amber of Myanmar,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104480,,,
2020,9,"Tihelka, Erok; Huang, Diying; Cai, Chenyang","Trihelota, a new and unusual helotid beetle genus from mid-Cretaceous Burmese amber (Coleoptera: Helotidae)",ACTA ENTOMOLOGICA MUSEI NATIONALIS PRAGAE,10.37520/aemnp.2020.033,No,No,
2020,9,"Chen, Zhi-Teng",A new stonefly (Plecoptera: Perlidae) from the mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104489,,,
2020,9,"Wu, Qiong; Zhang, Ting; Shih, Chungkun; Ren, Dong; Zhao, Yun-yun; Gao, Tai-ping",New vespids from mid-Cretaceous amber of northern Myanmar provide evidence for the phylogenetic relationships of Priorvespinae (Hymenoptera: Vespidae),CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104495,,,
2020,9,"Zhao, Xianye; Zhao, Xiangdong; Jarzembowski, Edmund; Tian, Yuan; Chen, Lei",The first record of brachypsectrid larva from mid-Cretaceous Burmese amber (Coleoptera: Polyphaga),CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104493,,,
2020,9,"Cui, Yingying; Chen, Zhi-Teng; Engel, Michael S.",New species of webspinners (Insecta: Embiodea) from mid-Cretaceous amber of northern Myanmar,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104457,,,
2020,9,"Ngo-Muller, Valerie; Garrouste, Romain; Pouillon, Jean-Marc; Douteau, Julien; Nel, Andre","A new Babinskaiidae from the mid-Cretaceous Burmese amber (Insecta, Neuroptera, Myrmeleontoidea)",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104478,,,
2020,9,"Sevcik, Jan; Krzeminski, Wieslaw; Skibinska, Kornelia",Intriguing and Beautiful:Adamacrocera adamigen. et sp. nov. from the Upper Cretaceous Amber of Myanmar Represents a New Subfamily of Keroplatidae (Diptera: Bibionomorpha),INSECTS,10.3390/insects11090552,,,
2020,9,"Melo, Gabriel A. R.; Lucena, Daercio A. A.","dagger Chrysobythidae, a new family of chrysidoid wasps from Cretaceous Burmese amber (Hymenoptera, Aculeata)",HISTORICAL BIOLOGY,10.1080/08912963.2019.1570184,,,
2020,9,"Peris, David",Coleoptera in amber from Cretaceous resiniferous forests,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104484,,,
2020,9,"Wang, Shuo; Chang, Wei-Ling; Zhang, Qiyue; Ma, Menglu; Yang, Feng; Zhuo, De; Hans, Harn I-Chen; Yang, Rui; Wu, Ping; Habib, Michael; Juan, Wen-Tau; Chuong, Cheng-Ming",Variations of Mesozoic feathers: Insights from the morphogenesis of extant feather rachises,EVOLUTION,10.1111/evo.14051,,,
2020,9,"Balashov, Igor A.; Perkovsky, Evgeny E.; Vasilenko, Dmitry V.","A mid-Cretaceous land snail Euthema truncatellina sp. nov. (Caenogastropoda, Cyclophoroidea, Diplommatinidae) from Burmese amber",ZOOTAXA,10.11646/zootaxa.4858.2.11,,,
2020,9,"Haug, Joachim T.; Azar, Dany; Ross, Andrew; Szwedo, Jacek; Wang, Bo; Arillo, Antonio; Baranov, Viktor; Bechteler, Julia; Beutel, Rolf; Blagoderov, Vladimir; Delclos, Xavier; Dunlop, Jason; Feldberg, Kathrin; Feldmann, Rodney; Foth, Christia; Fraaije, Rene H. B.; Gehler, Alexander; Harms, Danilo; Hedenas, Lars; Hyzny, Matus; Jagt, John W. M.; Jagt-Yazykova, Elena A.; Jarzembowski, Ed; Kerp, Hans; Khine, Phyo Kay; Kirejtshuk, Alexander G.; Klug, Christian; Kopylov, Dmitry S.; Kotthoff, Ulrich; Kriwet, Juergen; McKellar, Ryan C.; Nel, Andre; Neumann, Christian; Nuetzel, Alexander; Penalver, Enrique; Perrichot, Vincent; Pint, Anna; Ragazzi, Eugenio; Regalado, Ledis; Reich, Mike; Rikkinen, Jouko; Sadowski, Eva-Maria; Schmidt, Alexander R.; Schneider, Harald; Schram, Frederick R.; Schweigert, Guenter; Selden, Paul; Seyfullah, Leyla J.; Solorzano-Kraemer, Monica M.; Stilwell, Jeffrey D.; van Bakel, Barry W. M.; Vega, Francisco J.; Wang, Yongdong; Xing, Lida; Haug, Carolin","Comment on the letter of the Society of Vertebrate Paleontology (SVP) dated April 21, 2020 regarding Fossils from conflict zones and reproducibility of fossil-based scientific data: Myanmar amber",PALZ,10.1007/s12542-020-00524-9,,,
2020,9,"Wang, He; Matzke-Karasz, Renate; Horne, David J.; Zhao, Xiangdong; Cao, Meizhen; Zhang, Haichun; Wang, Bo",Exceptional preservation of reproductive organs and giant sperm in Cretaceous ostracods,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,10.1098/rspb.2020.1661,,,
2020,10,"Shang, Tingting; Wang, Xiaoli; Zhang, Lixia; Chen, Jun","A tiny yuripopovinid true bug (Hemiptera, Pentatomomorpha) from Cenomanian Burmese amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104534,,,
2020,10,"Tribull, Carly Melissa; Barden, Phillip; Olmi, Massimo","Hybristodryinus moutesoe (Hymenoptera, Dryinidae), a new species from mid-Cretaceous Kachin (Burmese) amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104528,,,
2020,10,"Chen, Zhi-Teng; Xu, Chun-Peng",First Peltoperlidae (Insecta: Plecoptera) from mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104506,,,
2020,10,"Xing, Lida; Gu, Lei",The possible earliest epizoochorous fruit preserved in mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104498,,,
2020,10,"Luo, Cihang; Jiang, Tian; Szwedo, Jacek; Wang, Bo; Xiao, Chuantao",A new genus and species of Perforissidae (Hemiptera: Fulgoromorpha) from mid-Cretaceous Kachin amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104518,,,
2020,10,"Jouault, Corentin; Ngo-Muller, Valerie; Pouillon, Jean-Marc; Nel, Andre","Taxonomic additions to the pelecinid wasps (Hymenoptera, Pelecinidae) of the 'mid-Cretaceous' Burmese amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104505,,,
2020,10,"Poinar, George; Zavortink, Thomas J.; Brown, Alex",Priscoculex burmanicus n. gen. et sp. (Diptera: Culicidae: Anophelinae) from mid-Cretaceous Myanmar amber,HISTORICAL BIOLOGY,10.1080/08912963.2019.1570185,,,
2020,10,"Lattke, John E.; Melo, Gabriel A. R.",New haidomyrmecine ants (Hymenoptera: Formicidae) from mid-Cretaceous amber of northern Myanmar,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104502,,,
2020,10,"Ngo-Muller, Valerie; Jouault, Corentin; Garrouste, Romain; Nel, Andre",Potential new evidences of bee fly parasitoidism on ground-dwelling insects in mid-Cretaceous Burmese amber (Diptera: Bombyliidae),CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104524,,,
2020,10,"Porta, Andres O.; Proud, Daniel N.; Michalik, Peter; Hernandes, Fabio Akashi",Notes on fossil Bdelloidea 1: the first snout mite (Acariformes: Bdellidae: Odontoscirinae) from the Cretaceous amber of Myanmar,SYSTEMATIC AND APPLIED ACAROLOGY,10.11158/saa.25.10.4,,,
2020,10,"Martins, Andre L.; Melo, Gabriel A. R.","Revision of the fossil species of Thaumatodryinus Perkins from Dominican amber, with a new combination and description of a new species (Hymenoptera, Dryinidae)",JOURNAL OF HYMENOPTERA RESEARCH,10.3897/jhr.79.57686,,,
2020,10,"Sinclair, Bradley J.; Grimaldi, David A.",Cretaceous diversity of the relict genus Alavesia Waters and Arillo (Diptera: Empidoidea: Atelestidae),AMERICAN MUSEUM NOVITATES,,,,
2020,10,"Jaloszynski, Pawel","Siamitoides gen. n., a new Oriental ant-like stone beetle genus (Coleoptera: Staphylinidae: Scydmaeninae)",ZOOTAXA,10.11646/zootaxa.4868.2.5,,,
2020,10,"Zhou, Yu-Lingzi; Caterino, Michael S.; Ren, Dong; Slipinski, Adam","Phylogeny and evolution of Mesozoic and extant lineages of Histeridae (Coleoptera), with discovery of a new subfamily Antigracilinae from the Lower Cretaceous",CLADISTICS,10.1111/cla.12418,,,
2020,11,"Xing, Lida; Qiu, Liang",Zircon U-Pb age constraints on the mid-Cretaceous Hkamti amber biota in northern Myanmar,PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY,10.1016/j.palaeo.2020.109960,,,
2020,11,"Li, Jingxia; Zhao, Xiangdong; Gao, Yunpeng; Wang, Bo; Xiao, Chuantao",Cockroach Stavba jarzembowskii sp. nov. (Blattaria: Liberiblattindae) from mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104531,,,
2020,11,"Liu, Yuchu; Tihelka, Erik; Tian, Li; Huang, Diying; Cai, Chenyang",First fossil pseudopsine rove beetle from mid-Cretaceous Burmese amber (Coleoptera: Staphylinidae: Pseudopsinae),ZOOTAXA,10.11646/zootaxa.4885.1.4,,,
2020,11,"Luo, Cihang; Jiang, Tian; Szwedo, Jacek; Wang, Bo; Xiao, Chuantao",A new planthopper family Katlasidae fam. nov. (Hemiptera: Fulgoromorpha: Fulgoroidea) from mid-Cretaceous Kachin amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104532,,,
2020,11,"Lis, Jerzy A.; Roca-Cusachs, Marcos; Lis, Barbara; Jung, Sunghoon","Pullneyocoris dentatus gen. et sp. nov. (Hemiptera: Pentatomoidea: Cydnidae), the third representative of the subfamily Amnestinae from mid-Cretaceous amber of northern Myanmar",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104562,,,
2020,11,"Xu, Chunpeng; Zhang, Haichun; Jarzembowski, Edmund A.; Fang, Yan",The first ground cricket (Orthoptera: Trigonidiidae: Nemobiinae) from mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104481,,,
2020,11,"Zhang, Qi; Kopylov, Dmitry S.; Rasnitsyn, Alexandr P.; Zheng, Yan; Zhang, Haichun","BURMORUSSIDAE, A NEW FAMILY OF PARASITIC WASPS (INSECTA, HYMENOPTERA) FROM MID-CRETACEOUS BURMESE AMBER",PAPERS IN PALAEONTOLOGY,10.1002/spp2.1312,,,
2020,11,"Fu, Yanzhe; Huang, Diying","Revision of the genus Jiaotouia (Hemiptera, Cercopoidea) with description of a new species from mid-Cretaceous Burmese amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104558,,,
2020,11,"Jouault, Corentin; Perrichot, Vincent; Nel, Andre",A new genus and species of parasitic wasps (Hymenoptera: Diapriidae) from Hkamti mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104533,,,
2020,11,"Chen, Xin-yu; Zhang, Hua-Chuan",A new fossil record of Lymexylidae (Insecta: Coleoptera) from mid-Cretaceous amber of northern Myanmar,ZOOTAXA,10.11646/zootaxa.4878.1.11,,,
2020,11,"Rasnitsyn, Alexandr P.; Brothers, Denis J.","The first plumalexiid wasp (Hymenoptera: Chrysidoidea, Plumalexiidae) from the mid-Cretaceous Burmese amber",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104568,,,
2020,11,"Li, Longfeng; Rasnitsyn, Alexandr P.; Shih, Chungkun; Li, Daqing; Ren, Dong","A new species and diagnostic characters for Panguidae (Hymenoptera, Panguoidea)",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104563,,,
2020,11,"Du, Xueyong; Slipinski, Adam; Liu, Zhenhua; Pang, Hong","Description of a new species of Eucinetidae (Coleoptera, Scirtoidea from Cretaceous Burmese amber",ZOOKEYS,10.3897/zookeys.982.39335,,,
2020,11,"Shi, Chaofan; Yang, Qiang; Shih, Chungkun; Labandeira, Conrad C.; Pang, Hong; Ren, Dong",Cretaceous mantid lacewings with specialized raptorial forelegs illuminate modification of prey capture (Insecta: Neuroptera),ZOOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,,,,
2020,11,"Haug, Joachim T.; Pazinato, Paula G.; Haug, Gideon T.; Haug, Carolin",YET ANOTHER UNUSUAL NEW TYPE OF LACEWING LARVA PRESERVED IN 100-MILLION-YEAR OLD AMBER FROM MYANMAR,RIVISTA ITALIANA DI PALEONTOLOGIA E STRATIGRAFIA,,,,
2020,12,"Hu, Xueying; Lei, Xiaojie; Luo, Cihang; Jarzembowski, E. A.; Wang, Bo; Xiao, Chuantao",A new whip spider (Arachnida: Amblypygi) in mid-Cretaceous Kachin amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104596,,,
2020,12,"Perkovsky, Evgeny E.; Olmi, Massimo; Mueller, Patrick; Capradossi, Leonardo; Vasilenko, Dmitry V.; Guglielmino, Adalgisa","A review of the Palaeoanteoninae (Hymenoptera: Dryinidae), with description of the first species from mid-Cretaceous Kachin (Myanmar) amber and comments on its phylogenetic significance",CRETACEOUS RESEARCH,10.1016/j.ereires.2020.104582,,,
2020,12,"Lohrmann, Volker; Zhang, Qi; Michalik, Peter; Blaschke, Jeremy; Muller, Patrick; Jeanneau, Laurent; Perrichot, Vincent","Cretolixon - a remarkable new genus of rhopalosomatid wasps (Hymenoptera: Vespoidea: Rhopalosomatidae) from chemically tested, mid-Cretaceous Burmese (Kachin) amber supports the monophyly of Rhopalosomatinae",FOSSIL RECORD,10.5194/fr-23-215-2020,,,
2020,12,"Bao, Tong; Antunes-Carvalho, Caio","Two new polyphagan beetles (Tenebrionidae, Leiodidae) from lower Cenomanian amber of Myanmar",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104599,,,
2020,12,"Poinar, George, Jr.; Brown, Alex E.",A new genus and species of the family Dinglidae (Hemiptera: Sternorrhyncha) in Burmese amber,NEUES JAHRBUCH FUR GEOLOGIE UND PALAONTOLOGIE-ABHANDLUNGEN,10.1127/njgpa/2020/0951,,,
2020,12,"Zhang, Haoqiang; Shih, Chungkun; Ren, Dong; Wang, Yongjie",New Alavesia species from mid-Cretaceous Burmese amber highlight genitalic structural homology (Diptera: Empidoidea: Atelestidae),CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104573,,,
2020,12,"Legalov, Andrei A.; Hava, Jiri",The first record of subfamily Polycaoninae (Coleoptera; Bostrichidae) from mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104620,,,
2020,12,"Kocarek, Petr","A diminutive elcanid from mid-Cretaceous Burmese amber, Ellca nevelka gen. et sp. nov., and the function of metatibial spurs in Elcanidae (Orthoptera)",CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104574,,,
2020,12,"Wriedt, Anna-Louisa; Harvey, Mark S.; Hammel, Joerg U.; Kotthoff, Ulrich; Harms, Danilo",The second chthonioid pseudoscorpion (Pseudoscorpiones: Chthoniidae) from mid-Cretaceous Burmese amber: a new genus with unique morphological features and potential Gondwanan affinities,JOURNAL OF ARACHNOLOGY,10.1636/JoA-S-20-017,,,
2020,12,"Jouault, Corentin; Rasnitsyn, Alexandr P.; Perrichot, Vincent",A new myanmarinid wasp (Hymenoptera: Stephanoidea) from mid-Cretaceous Burmese amber,CRETACEOUS RESEARCH,10.1016/j.cretres.2020.104621,,,
